t,alpha,beta_CO₂,beta_Gas,beta_Coal
0,110.43046747091898,1.166048373759782,0.5078212013652903,-0.002732771028500572
1,107.22448386979305,1.1377926143380819,0.4909600369770333,0.011329536554294986
2,107.01720096119593,1.1274371544934771,0.4807326686488959,0.020603702556535493
3,113.00308899722177,1.1031645385504614,0.5281514610457069,0.05121696797604631
4,123.89375923777554,1.063323078464004,0.6314636470362645,0.10632053300540781
5,133.67573861536576,1.0344638569190168,0.7225529704262997,0.15777130459874533
6,136.2236336287446,1.0458662726858887,0.7270217033985975,0.16844194250364894
7,130.39607874567392,1.1036731997234157,0.6361298661197603,0.12482284795977598
8,120.74666356353153,1.1845480541777098,0.516235115702245,0.05030377582838242
9,113.3266800272551,1.2503934412244189,0.44577881026631827,-0.012076642433765342
10,110.82879612331006,1.2700421744712838,0.4445898013700909,-0.030841648782632732
11,111.73308237175806,1.233196879242986,0.46815474242117994,-0.0039426349476860845
12,113.82878708644981,1.1526327402889456,0.47170920221644197,0.04884493173175746
13,117.9218533323991,1.0595605900985925,0.474670331024275,0.10651142883084846
14,127.39310335929977,0.9961291125084303,0.552321644276029,0.15837976980912874
15,143.73251654080664,1.0032610534928381,0.7551155841836609,0.19818116950619843
16,162.692398653614,1.1020420068437786,1.0337433152792175,0.2130161013617876
17,175.5670327033192,1.2756350359866069,1.2504322999047475,0.18516537974113761
18,175.24426878629532,1.4666452952863493,1.2775803183272902,0.10919118935907197
19,161.82328688584013,1.599852522228239,1.0994729704188944,0.00698193683946667
20,142.62888595639032,1.6219042766316796,0.8253790150144369,-0.07865522992924577
21,126.50517342054796,1.5326529915991827,0.6019570480152217,-0.1116036663216722
22,117.51395910983449,1.384378520720471,0.5041053605929924,-0.08867761447616376
23,113.53290842737967,1.2473503369279602,0.49932687242469365,-0.04016294636421258
