year,year_mean_morning_ramp_wd,year_mean_eve_minus_mid_wd,year_mean_peak_hour_wd,year_mean_morning_ramp_we,year_mean_eve_minus_mid_we,year_mean_peak_hour_we
2022,3253.2916666666665,384.375,14.333333333333334,3147.8333333333335,860.4166666666666,14.875
2023,3165.5,553.2291666666666,14.041666666666666,2940.5,872.6979166666666,14.916666666666666
2024,2912.0,966.0416666666666,17.0,2625.25,1289.8333333333333,16.666666666666668
