datetime,day_ahead_price_eur
1,123.35126792114697
2,109.4795
3,112.37285842293907
4,109.06041666666667
5,110.64866487455197
6,143.64461226851853
7,167.907311827957
8,187.9684744623656
9,142.66646527777777
10,114.74891129032258
11,134.69127083333333
12,126.81372983870966
