datetime,day_ahead_price_eur
0,109.35648769574944
1,108.41423937360179
2,108.28854586129755
3,110.34215883668904
4,124.83341163310963
5,134.13947427293064
6,136.69544742729306
7,129.87178970917228
8,119.59325503355704
9,114.11992170022373
10,112.1279865771812
11,111.00322147651008
12,112.4246644295302
13,118.53304250559283
14,128.69526845637583
15,143.6447091722595
16,160.8741946308725
17,175.76269574944072
18,177.89678970917228
19,159.29791946308725
20,143.18937360178973
21,126.35068232662192
22,118.60082774049216
23,112.82774049217002
