datetime,mean,std,min,max
2022-12-31 00:00:00+00:00,166.71,60.52,61.08,388.42
2023-12-31 00:00:00+00:00,111.66,29.75,1.18,186.46
2024-12-31 00:00:00+00:00,83.86,18.58,25.5,124.75
